@format=row	BXD56	BXD45	BXD49	BXD101	BXD40	DBA/2J	BXD87	D2B6F1	BXD65b	BXD100	C57BL/6J	BXD48	BXD65	BXD69	BXD70	BXD73	BXD84	BXD63	BXD68	BXD66	BXD79	BXD81	BXD29	BXD98	BXD62	BXD90	BXD64	BXD102	BXD60	B6D2F1	BXD44	BXD73b	BXD48a	BXD32	BXD9	BXD61	BXD89	BXD27
LysoPhosphatidylcholine.with.formula.C21H39O7P/L.Tyrosine	4.87453712420762	15.9910944206009	4.69639036510456	11.5579642337284	4.18890961971135	10.9725427006123	6.390267302721	15.4012136834756	15.5690685622382	7.91677735688165	8.71464293449369	7.6096549502758	8.68144634406123	4.59331418665425	9.14632168059048	11.0254992648861	4.83649491472788	10.5931490738018	8.03601859552017	5.18879240497411	3.93416295177661	1.18974044232567	8.12223749603468	10.6993827475386	6.00366757133426	7.9202828478182	8.00314825414997	4.88038576953319	2.92264066064715	5.3401764465492	3.35455564539841	3.41127885613867	9.45736490766457	10.3504857251941	6.07125387919518	9.75912242161422	47.4238141257953	10.9107654523127
PE.P.16.0e.0.0./L.Tyrosine	14.1287975259232	43.5398773006135	8.75077160493827	29.6913728632479	7.39030883919063	33.1397702939459	14.4769667330798	29.2191543555782	42.5173516972129	17.1293286971331	24.1888731008853	18.3460493108134	21.1765903307888	8.15241550330639	16.7207888493476	29.4687269750307	23.1295792079208	29.4822422258592	13.3121795885183	9.26743216673221	6.65816376683378	5.577823875803	20.1595716760275	31.0404025455084	11.5702572801809	15.9349464980545	16.1346719750736	7.97406921866807	5.22282515073213	11.8915475616937	9.588019014103	4.7919434470377	10.3287922731022	14.5090833407665	13.5211003295496	27.6820425669661	54.8927056630156	19.973274053352
MG.24.1.15Z..0.0.0.0./L.Tyrosine	12.2908688083558	40.5322273592603	9.80913939743405	38.1844568484328	18.5300400534045	51.8073645769933	27.8978475858057	45.6229716831053	49.7812837280173	45.3734022556391	27.2777024528534	35.6269557021678	45.7354081101406	14.0005520504732	50.3790022338049	43.9539043897674	25.2720757268425	52.08515252277	37.321134608079	25.7170231340026	29.858276394093	16.66600019994	26.631995007281	30.2655122655123	27.2282102461743	35.3899540912773	27.1722864639005	24.7986790606654	15.4489171974522	18.5384294417091	21.7907962277665	15.4978226157643	38.9589522280209	30.1317690645261	31.336480322478	36.0032628144406	119.614361161893	43.7445295404814
Se.Adenosylselenomethionine/L.Tyrosine	11.8513733468973	60.63344182262	19.1895093062606	56.9125815947779	24.9703958128885	37.1295528898582	46.361562258314	55.5499741735537	64.5672760210804	47.6765751530713	49.4755197853789	29.2209338280767	36.2556977117439	22.2576479438315	50.6808988764045	47.069042170644	47.2414054600607	37.2144406569569	38.6043617787674	16.590459831611	44.437264228309	17.8930986369003	15.5995125913891	44.8162393162393	31.7732919254658	34.4956567517768	51.1580680570801	22.5465935206465	12.6643692564745	34.8191222570533	26.7813233568075	18.0757639888259	65.638654041258	34.1605880294015	44.8745252924199	48.0836378971043	97.2280194831999	24.5457056909571
Chenodeoxyglycocholic.acid/L.Tyrosine	18.2671893375147	25.2991003225259	9.05589566143199	28.8607775686376	6.27647590856767	44.7173627528237	13.9611062590975	30.6340751290725	25.3665361845298	30.7518313268361	16.6650852818254	29.7592505117304	40.422720998006	27.0331962844526	34.6507221141043	30.5880778382053	34.5000923020122	27.7988425925926	30.4028264906127	33.1912004957467	20.8731895223421	10.8485716144986	22.2966618287373	26.9831467901711	12.450258594463	19.6151773686574	22.8923454768727	24.2509369268798	14.6218953460333	19.7130180140208	16.1978348640135	12.8245645645646	14.9590366088632	19.6950397546111	19.9062668463612	35.4179954441913	56.6321888824774	34.1497266826102
X5b.Cholestane.3a.7a.12a.23R.25.pentol/L.Tyrosine	16.2220984473996	30.4281339322172	22.3321299638989	35.3464228934817	12.623532330081	43.887342098479	19.0439202605035	50.2516208165411	52.3539427121586	34.3073479249574	28.5867080023251	35.3471105292687	50.7300609560475	23.1516692749087	31.1965142014017	40.9767772781604	20.7513879635798	40.4392187675384	31.5940397705955	29.1874071138413	21.0303500737406	10.5173175193994	25.2405362776025	31.5873493975904	20.2326961107449	26.288665997994	24.3177667623272	25.34425	14.5470611755298	21.3828087400135	17.8681969459671	16.9185484509944	25.6364416853784	36.181804700823	32.1761246051628	35.2392088183785	118.043800741706	30.3841477315905
X3.17.Androstanediol.glucuronide/L.Tyrosine	12.4704560051381	35.97320782042	18.1528611444578	37.8690172032022	16.4142565315557	28.4823490045173	20.1921684210526	45.2320067294043	47.4467505748517	35.7848195093025	28.8212541512014	34.2021353601158	41.4984253621667	28.4635241301908	40.5192238591448	42.0637452527023	23.7075986299632	32.1213445078459	33.1040098843087	25.1537804721855	19.9113691482325	9.61806957826112	22.317392062293	21.9968536969061	24.9156773211568	22.8069961712496	28.9352235099338	21.0398478035282	17.6835812190143	19.421752054555	14.9636445610296	16.8917807135511	31.5727531516877	30.1224691358025	29.4202768648541	31.1678359908884	93.4552451991747	31.0954269715352
X5.Methyltetrahydrofolic.acid/L.Tyrosine	16.0048083527957	17.8487425149701	34.0997243798547	21.3664888760752	25.9024431625382	21.2772153480815	21.1877706105858	19.6833218943034	34.1434792074897	27.1205550249986	20.9518579881657	30.8774710014703	37.8562604740244	49.0406077348066	45.777401894452	21.8164489833025	21.0292562169461	27.9997668454185	21.6232575201761	15.7521321819105	20.6883017715333	18.7609723160027	14.1260850375166	18.5119152691968	16.6290125965055	28.859061880643	26.7665358476118	37.4176919291339	15.1845575959933	15.1749436436915	19.432746047799	25.5937912022054	35.3057753524329	36.0215545877316	36.3312015742221	25.0616895010624	45.1771452683264	20.6542514722595
Docosa.4.7.10.13.16.pentaenoyl.carnitine/L.Tyrosine	32.2042847270214	71.7213666987488	18.1021548284118	46.1024364955936	14.9631480936979	69.3437881873727	28.2828497287096	75.7824363604334	67.5952586206896	47.086023602848	41.1766675969858	50.711295948484	48.9977689638076	24.1796513211659	44.106258148631	59.3700313376216	42.6780086777803	58.4384428223844	50.8892342225676	29.5134498822822	19.6130013030259	15.3635609621233	40.8487555839183	57.1031854070242	28.4457831325301	32.8690744920993	34.7280178837556	23.7491019834453	19.4287087471964	27.942893081761	24.7513898305085	19.7620546043498	29.6733679865464	43.3301367430297	38.3498636894716	52.4884149148381	131.677437388193	51.4046027256364
Taurocholic.acid/L.Tyrosine	0.00446455174883358	0.00361547512724283	0.00264413891090201	0.00409637077567809	0.00123858767077402	0.0055469898849928	0.00236283720282062	0.00908814191410175	0.00589293953687187	0.00388448567128777	0.00383529944768007	0.00486705691501092	0.00523696160314396	0.00476015701892495	0.00342688798132812	0.00580998983721269	0.00690626456920389	0.0040446288355621	0.00591278499194835	0.00457112833087236	0.00282433323608728	0.00185425599076732	0.0047610508700174	0.00519119944427881	0.00253313473814484	0.00311684112151578	0.00379503278076111	0.00278899963397309	0.00217132558728239	0.00342238968106051	0.00271593002468405	0.00295327144218506	0.00501534479460254	0.00563098248761261	0.00329761347575017	0.00581177390735458	0.0254954323650367	0.00575190997002476
Poly.g.D.glutamate/L.Tyrosine	14.3692876965772	13.1194542253521	5.98811985743829	19.972959619099	0.527385027790924	24.4948201438849	4.7772951864839	39.5185338294061	11.4779547384138	15.6586876844734	14.2542269170075	20.7465422612514	28.5569601964892	20.6932043361697	11.6653448275862	25.8703823487135	22.674957534579	15.6226096006244	19.842124751742	18.8373884963392	10.6889967254507	5.75377925036239	18.9434744007103	15.7344336084021	6.18062827225131	14.5496835794382	16.4381870554347	5.33338594276094	7.06697486500136	16.146678296264	5.87044540922978	12.4224213159579	17.3631077514872	22.1067319017849	12.7320489612964	26.7031225604996	100.112461747705	23.8986849970114
Arachidonyl.carnitine/L.Tyrosine	31.6530362722456	137.361290322581	66.0961631860126	163.117388114453	33.8662377994676	128.871309613929	88.7095819459859	166.477941176471	158.629374873559	129.11821342605	110.45869727976	145.946718146718	143.855167394469	74.6539108494533	153.005427408412	146.563721498371	66.7692032868882	152.335306553911	103.648672410761	95.5060787810018	80.4435866983373	30.4437545653762	83.4368889854443	77.1954361428046	73.6705670567057	104.421513944223	83.5714285714286	75.5604968944099	54.3829596412556	78.3307475317348	48.5805721889554	59.3465814341301	110.405858930603	115.581241117954	104.27426756089	102.17054958184	410.785838855947	120.829555757026
LysoPE.0.0.22.6.4Z.7Z.10Z.13Z.16Z.19Z../L.Tyrosine	1.68872170642082	20.2716267682263	1.40825132710396	4.59713621090721	0.769935649156782	6.90092829056711	2.30364691414957	11.5756205852674	5.68822680217923	3.04087905719919	3.97549715271166	2.59670261729752	2.66640136249431	0.733085842652087	1.94959111577273	4.22300499777095	1.96739725450564	4.88121883806633	1.77267532779983	0.908049466893123	0.805289454677315	0.387277973173259	3.23686073559653	14.0548147155398	2.06660775154652	1.83982647517163	2.30510514471309	1.19972781065089	0.553735586698974	1.3771286521068	0.932206938638981	0.707985053099957	1.60450947568562	2.78348563149549	1.43048278533727	3.48411574776683	16.0295486716028	1.82951940368169
LysoPhosphatidylcholine..18.2.9Z.12Z../L.Tyrosine	5.22944675120637	8.87653365098273	4.16119859348723	8.2028113931523	2.23216609401272	9.80074841681059	4.82206491573825	11.779110362673	9.15860723713411	6.59760297373384	6.76584426304687	5.79579883471328	7.63331273654128	4.11952940084467	6.5662849378882	7.92053293432938	5.43465743864139	7.52135699373695	6.27468304574148	4.16682815052653	3.54611729905894	2.13550073015141	6.94716278060163	10.3269325455441	3.26040020714106	5.56589509449989	6.44546376544348	4.62908675799087	2.70338831921534	3.96095142999786	3.39700573172547	3.69568001661532	7.04385773906732	7.85398828301036	6.16282805524262	8.24357151464032	29.4217442354293	8.15370340158251
Lysophospholipid.with.formula.C26H54NO7P/L.Tyrosine	8.87746704259697	11.9660377358491	5.72247918593895	12.2911794786743	3.44283330326538	12.2898498411782	8.43293240486741	13.6007777672389	16.0302776301263	9.73862788211325	11.0865415925657	8.47120254582941	12.8263331224347	7.17135932134922	9.48375431022399	10.401228057502	9.71901814966977	11.8118422346808	10.4477215122565	6.92945604234049	5.84148681572196	3.7297805221827	8.96184809240462	14.6292808816349	6.12512472560367	7.15059747912915	9.01305398871878	8.15736394603439	4.65078999846602	5.7895751889497	5.73083745388902	6.42018701704802	10.0306718346253	10.7627701808558	10.8156921612419	13.7974749919329	44.1905744624967	12.3398969167618
