@format=row	BXD56	BXD45	BXD49	BXD101	BXD40	DBA/2J	BXD87	D2B6F1	BXD65b	BXD100	C57BL/6J	BXD48	BXD65	BXD69	BXD70	BXD73	BXD84	BXD63	BXD68	BXD66	BXD79	BXD81	BXD29	BXD98	BXD62	BXD90	BXD64	BXD102	BXD60	B6D2F1	BXD44	BXD73b	BXD48a	BXD32	BXD9	BXD61	BXD89	BXD27
X2.Hydroxyadipic.acid/L.Tyrosine	0.695487352767347	0.91868851246394	0.757902474883607	0.546671895804109	0.58106935426166	0.835713409096488	0.67074327178331	1.26811731984382	0.889317483523176	0.686816594917728	0.690718077884624	1.10155207283027	1.00803106859494	1.05870601074647	0.9037515728395	0.845127481513743	0.757581408169801	0.438847290892414	0.800879887717849	1.1121394419077	0.689097901173023	0.763701830575559	0.770100698997822	1.00726610862184	0.740038396740195	0.698451190653847	0.752920079484321	0.54778145009501	0.57418320355284	0.712166191132626	0.630363127478793	0.667666205982227	1.39230940288657	0.871645928672733	0.870011721534048	0.623856942240703	3.18952625207517	0.99669948074157
X4..3.Pyridyl..3.butenoic.acid/L.Tyrosine	11.8900796080833	26.2851851851852	10.0876139648655	13.5442583003351	14.1177177732569	16.2163269194132	10.3274183822896	23.4967773650863	17.7596203936491	16.3297591665539	19.3956178790535	15.4944253156255	12.0006678607207	11.0753634038306	18.2241555783009	12.2346073449688	30.9313141343926	4.07299839464581	12.1759517465039	18.9506915406883	12.7690640022622	11.9874883152369	15.0795084220032	27.4205778533142	10.744497440161	11.6882804138423	14.8668190759743	11.0512718023256	12.0025732383215	13.4797330097087	14.9141304791862	11.7906681391496	21.4800243470562	10.0017216642755	21.3832066594282	17.3251114262561	35.931384812521	22.7690774487472
Phenylpyruvic.acid/L.Tyrosine	4.9786961259856	4.62359620276726	7.51931045914139	6.07680428573381	6.02434693394365	7.93692013613688	6.01062843105307	10.4782423364065	8.27446655832507	9.59424869333651	7.25753451611845	10.9457925522673	9.51887212704222	8.99964513839603	10.354595818922	8.17441807653003	10.3849188708602	9.21650038372985	8.10976280887128	8.20386538006322	7.97544964822937	5.48785305155046	6.12966036772217	7.78342672653728	6.54626889546509	8.01081973225747	7.02693873448259	8.58012187552897	6.25833419341521	5.50220438896319	6.16808866512359	8.22974639636167	9.43598531806801	7.47192576827084	8.57949000929368	6.91519427485546	23.0767708435387	10.0567195713962
L.Fucose/L.Tyrosine	3.68959619952494	1.94827248127378	2.85015392992523	4.74413195629908	1.79667659138785	2.83311421391602	3.21591716849291	3.86585667234322	4.64448393306678	4.00854395695639	4.80724658144258	3.88004762784587	4.23688413019946	2.70897105275205	4.15600928758339	2.92825794275441	4.26235004333349	3.25617526639733	2.1933023255814	4.19546114845619	3.38384103313475	2.75996225353045	4.49898085888996	1.83275078643831	2.72004608294931	2.14630351469095	2.37008721595484	2.98185187363963	3.40052341340312	3.3211140845281	2.35261177198386	3.13741018821905	7.99940239454324	3.69111606974018	3.18998974137466	2.36837659505231	17.833209672779	4.32879693387034
Kynuramine/L.Tyrosine	45.7486746514824	83.4006715165081	71.7784810126582	63.961162255466	44.9687776141384	71.5891505466779	56.392756349953	43.2253818327974	91.0268168098444	73.0036292151822	58.3992611162422	86.0268548020027	95.0502524645348	71.7860897695107	96.932664756447	65.1866171676929	82.5472614840989	100.634916201117	70.1809739254673	72.5855611679192	65.2224362060664	45.326264274062	58.6619825874446	66.9881826892367	54.7356219349086	63.8640350877193	56.8931841302136	66.8860787332307	45.6833249623305	56.6554450395307	46.0382093316519	44.4019546683302	73.0773719879518	50.1473640941322	67.9413523459062	72.9665102389078	143.083829425343	80.5611525287125
Methionine.sulfoxide/L.Tyrosine	3.72112113710772	3.18959465822026	17.6490727532097	9.27066132933033	11.678191692802	11.7252565603692	8.87949933343208	19.4937804463578	9.5513070382732	13.9023498243391	9.07560130410712	14.5631838495916	20.2673160728018	10.098236632537	18.4628608852262	4.96843318449403	13.0662798014403	14.1772784511255	14.920518402268	10.6079652869052	13.9606327613748	11.5020008279288	7.67367979380207	3.68326777184602	9.79589882709647	13.8062579013906	8.24137931034483	13.2721361553568	9.20602226720648	11.7326502587937	7.71274955107214	11.5979034272989	11.0945439995427	14.685927530998	12.7888220269276	10.6543013766897	12.0885091095715	12.4672591206735
L.Phenylalanine/L.Tyrosine	0.553880165927757	0.506014647015085	0.568803811752905	0.578877000126279	0.501934830566706	0.546690901383755	0.456210580389844	0.61635394943559	0.640465287999255	0.611887349649552	0.537144327319594	0.577624356670456	0.607431981321321	0.647807095966691	0.673835361044052	0.537280539727673	0.540238889499153	0.609893095655265	0.571620582413927	0.464625714078425	0.530108082302208	0.509772863485695	0.679797933312329	0.590004191409579	0.556020017662644	0.550695465815019	0.473242497220252	0.61826176580005	0.583826512272774	0.570257268568671	0.501380887311081	0.621394003416475	0.430207996240818	0.596550164423418	0.629302356296986	0.533889905994472	0.965413983761164	0.583932491226225
Benzoquinoneacetic.acid/L.Tyrosine	1.56323088380331	2.62791599809567	4.421729807005	3.55820336568854	2.91303020473583	5.39944178375464	3.42633820125175	5.51967973516562	3.52812674357913	4.24266631514193	2.10997811878781	6.04107268426772	6.0054841968538	4.27631642337525	4.17637836102812	2.2401833417868	3.86249870827736	5.27872527472528	4.42629721408726	3.68613453790135	4.65914601640556	2.72959476054032	2.83656828857573	3.78462260235659	3.79893246692968	4.28937549096622	4.06273609577498	5.19420344309332	2.53969871696427	3.3743354497676	3.35927824142659	3.99889506901137	5.93948620652723	3.50495234401373	3.76874106960604	1.90507139833812	18.2369346072253	4.92480230581627
X3..3.Hydroxyphenyl.propanoic.acid/L.Tyrosine	7.22945173601415	10.5782525374406	6.36896293523025	7.87939680683288	7.79321082184788	3.8014201817654	5.14377037926892	8.86829871669329	15.4680225676635	6.29159553256096	7.9542807849903	7.6879677839245	8.74965969832118	10.596096454578	7.72415918898555	8.53270042194093	10.0288167426885	7.90055042652573	5.72009432405943	6.43480302748987	4.74199702459088	7.23976201850002	7.95567063697566	8.40068890936036	7.45269675539503	8.59112363970106	3.99306001799255	7.74224835802658	5.87890637624018	6.08152650021901	6.06359514358318	7.50040394815413	2.95120690310564	8.06172044076589	8.11451723664332	7.89154708623633	23.631024519443	8.28652849740933
Homocysteinesulfinic.acid/L.Tyrosine	0.809377746436797	0.261485853442861	0.0810094574130689	0.294752681329462	0.0475750940087148	0.113904393079518	0.125406175488731	0.145069153173964	0.258237292243973	0.0598981153991556	0.137811600064639	0.0458530502427894	0.0802850842075002	0.18189260439816	0.0468990247548162	0.145845125462856	0.129334369556627	0.109077020566329	0.0401418178519643	0.129196047744759	0.134096002470739	0.0417102112331596	0.294442348914873	0.745114339205718	0.0483533752189543	0.100804054038462	0.103209675865589	0.0745225870350287	0.111389926281351	0.0812367368536919	0.074946394717583	0.0858017232753885	0.765066319793453	0.237811400604002	0.0726676224193202	0.235999420465835	0.250503091505544	0.0969791830390667
