@format=row	BXD63	BXD45	BXD32	BXD39	DBA/2J	BXD90	BXD24	BXD95	BXD73	BXD55	BXD100	C57BL/6J	BXD102	BXD91	BXD29	BXD89	BXD73b	BXD75	BXD87	BXD34	BXD48	BXD9	BXD65	BXD70	BXD43	BXD44	BXD61	BXD65b	BXD50	BXD68	BXD77	BXD101	B6D2F1	BXD62	D2B6F1	BXD48a	BXD79	BXD69
X5.amino.1..5.phospho.D.ribosyl.imidazole.4.carboxylate	4727.0	5783.0	13546.0	11111.0	14510.5	11199.25	10794.5	5805.25	5799.0	6864.0	11786.375	13187.2	15043.8	10154.75	7785.875	6664.333333333333	8681.785714285714	9850.0	9484.0	10717.75	9031.5	13373.75	12141.0	7671.625	9064.5	10312.5	9162.8	13000.5	9221.5	11100.75	9457.5	11265.666666666666	13366.357142857143	10653.166666666666	14524.125	9838.583333333334	12459.5	11711.0
Aldosterone	2404.0	2757.25	2667.5	2637.0	3264.0	2783.875	8778.5	4164.75	3061.0	4577.75	2866.0	3163.8	3216.7	2964.75	3046.75	3294.5	2725.3571428571427	5831.0	3975.5	3888.75	2685.8333333333335	3016.25	3632.0	3115.125	2707.75	4244.0	4265.2	3674.6666666666665	5530.0	3677.5	2934.6666666666665	3215.5	4429.571428571428	3603.1666666666665	3819.5	3714.25	3462.0	5887.5
Monoacylglyceride.Phosphate.with.formula.C21H42O3	617.0	947.5	818.5	988.5	704.5	964.125	779.5	872.0	939.5	1578.5	951.875	1329.4	927.6	1138.75	1151.375	1206.1666666666667	1214.2857142857142	1038.0	1501.0	1003.5	792.3333333333334	1050.0	1063.5	1687.5	957.75	1023.5	1111.0	922.3333333333334	1098.0	1109.5	1056.0	1321.6666666666667	1204.357142857143	1419.1666666666667	1177.125	1235.0833333333333	1374.5	1247.5
Phosphoribosyl.formamidocarboxamide	3648.5	2805.25	7796.0	7476.0	16202.0	7657.875	23974.0	2498.25	2775.5	7037.5	3109.25	5309.8	6968.9	3254.5	6572.875	3504.6666666666665	3980.4285714285716	9153.0	8470.0	7659.25	4791.833333333333	3879.25	3346.0	9574.5	3253.25	4774.0	6302.4	6485.833333333333	6391.0	5107.5	6887.666666666667	3393.0	5705.857142857143	4084.6666666666665	5254.875	5093.25	4923.75	4426.5
Tetrahydrocortisol	3214.0	19614.75	9781.5	6386.0	14366.5	8354.25	30873.0	7174.25	4283.0	7931.75	11934.5	21691.4	11192.7	6835.75	9201.875	8049.0	13463.857142857143	22504.0	33217.5	13457.0	11474.166666666666	8711.0	12255.5	11477.75	11739.0	14025.5	20029.8	19437.833333333332	22167.5	10235.75	7995.166666666667	18673.666666666668	19077.214285714286	15632.833333333334	15227.375	11560.416666666666	19539.0	46548.0
Nervonic.acid	3008.5	3369.75	2613.5	2754.5	2935.5	2696.5	2590.5	3740.0	3106.5	6232.25	2513.375	2626.6	2639.9	2977.0	4029.125	4044.5	2930.3571428571427	3081.0	3140.0	2600.25	2532.5	2929.25	3605.5	9260.375	3802.25	3241.0	4013.5	3002.6666666666665	2832.0	3236.25	4122.5	3604.1666666666665	4097.928571428572	4470.833333333333	3077.75	3739.25	5428.75	5165.5
Cortol	1382.5	2915.75	6305.5	4220.5	4981.0	4726.0	4958.5	3251.75	4429.0	6157.0	6069.25	7362.9	5397.9	5184.5	6583.25	4661.666666666667	5049.071428571428	8010.0	6273.5	5364.0	3268.1666666666665	4969.75	5569.5	7234.875	6128.25	7432.5	7904.4	5243.333333333333	6692.5	5180.0	7477.666666666667	4900.333333333333	11219.785714285714	12990.5	9043.75	7999.5	10304.75	8706.0
X6.Keto.prostaglandin.F1a	2509.0	3440.75	6188.0	5605.5	12988.0	6825.875	5298.0	3218.0	5617.5	11539.0	7773.25	7889.4	8695.9	4447.5	8494.0	6300.666666666667	5677.571428571428	15175.0	9898.0	7485.0	5614.166666666667	8821.0	5380.0	10826.125	5135.0	10781.0	5083.6	6463.333333333333	10258.0	8118.5	5220.833333333333	6017.666666666667	15292.5	5514.166666666667	9287.375	6916.75	6489.75	5291.5
X18.Hydroxycortisol	15004.0	19512.5	12162.5	16912.5	9811.0	18334.25	19109.5	25850.75	10135.5	41216.0	18457.125	18842.9	13574.6	23782.0	28499.75	15034.666666666666	26283.214285714286	76857.5	67473.0	29765.25	20121.666666666668	19285.25	22080.0	24855.125	21638.5	23320.0	53835.2	32155.5	40110.5	23885.75	18582.166666666668	36133.333333333336	35005.57142857143	33067.166666666664	25728.125	15121.25	38859.0	30425.5
Leukotriene.B4.ethanolamide	722.0	787.5	995.5	1282.5	816.0	1421.625	865.0	912.0	719.5	2207.5	737.5	2323.8	811.4	1406.75	1595.875	1462.6666666666667	1164.2857142857142	1704.0	1241.5	1058.25	1591.6666666666667	933.5	872.0	1655.875	918.75	1526.5	1513.8	1145.5	815.0	1907.0	1803.1666666666667	1360.0	1683.4285714285713	1999.8333333333333	1377.125	1490.5	1912.25	1820.5
