@format=row	BXD63	BXD45	BXD32	BXD39	DBA/2J	BXD90	BXD24	BXD95	BXD73	BXD55	BXD100	C57BL/6J	BXD102	BXD91	BXD29	BXD89	BXD73b	BXD75	BXD87	BXD34	BXD48	BXD9	BXD65	BXD70	BXD43	BXD44	BXD61	BXD65b	BXD50	BXD68	BXD77	BXD101	B6D2F1	BXD62	D2B6F1	BXD48a	BXD79	BXD69
Diglyceride.with.formula.C32H62O5	2597.0	2068.75	1998.5	2056.5	2023.5	2072.25	1775.0	1814.0	2172.0	2283.0	1828.0	1971.6	2176.2	2259.25	2078.625	2127.8333333333335	1831.142857142857	2099.5	1646.5	1880.75	2033.3333333333333	2065.75	2065.5	3368.125	1969.0	1978.0	2126.1	1894.5	2131.5	2041.25	2219.8333333333335	1865.0	2226.0	2464.5	2116.625	2157.8333333333335	2608.5	2296.0
Triglyceride.with.formula.C33H62O6	1228.5	705.75	607.5	422.0	856.5	752.75	619.5	1080.0	675.0	1046.0	635.75	621.9	665.3	704.75	710.625	887.1666666666666	769.5	1318.0	827.0	663.75	817.0	651.5	653.0	734.25	699.5	1202.0	1205.3	841.5	725.5	871.5	815.8333333333334	765.6666666666666	797.4285714285714	944.1666666666666	825.375	977.3333333333334	1083.75	1010.0
Ceramide.with.formula.C36H71NO3	971.5	546.75	575.0	388.0	626.5	849.5	499.0	674.75	574.5	1851.5	564.625	726.6	599.1	996.0	918.125	703.5	795.3571428571429	741.0	655.5	1164.25	773.0	921.0	1993.0	1495.25	895.5	571.0	1077.3	791.0	656.5	1862.0	969.8333333333334	598.0	1416.357142857143	2052.1666666666665	1675.125	1033.5833333333333	3055.75	1082.5
Uridine.diphosphate.glucose	42255.5	59122.75	110252.0	28624.5	244515.0	97381.625	52360.5	31287.75	16113.5	45124.5	91088.0	104815.0	151102.0	75456.5	70334.25	77571.83333333333	58597.78571428572	103731.5	137417.0	157325.75	87625.33333333333	211675.75	93228.0	98523.375	57386.75	76478.5	112044.5	111506.5	78852.5	168725.5	84538.5	106964.33333333333	140374.2857142857	83482.5	61884.0	100293.58333333333	80914.0	42181.5
LysoPE.0.0.24.6.6Z.9Z.12Z.15Z.18Z.21Z..	3816.5	5003.25	1417.5	1645.0	3438.5	3190.75	1893.5	9343.0	1697.5	3033.75	3670.375	2464.1	2532.0	1654.5	3091.75	4351.333333333333	3026.214285714286	5504.5	4165.5	2047.5	4476.0	3220.75	1838.0	3013.125	2622.0	4911.0	3641.3	4490.5	3524.5	2430.0	3235.3333333333335	3144.0	3465.0714285714284	3023.3333333333335	2463.0	3146.5833333333335	2869.5	2984.5
LysoPC.22.2.13Z.16Z..	1389.0	528.0	481.0	597.5	701.0	636.875	506.5	859.75	472.0	943.75	514.75	535.8	671.7	648.25	645.5	658.6666666666666	688.2857142857143	1053.5	636.5	534.5	678.8333333333334	676.25	745.5	545.5	553.25	851.0	614.7	669.5	573.0	748.0	612.6666666666666	617.0	661.8571428571429	767.0	788.625	748.6666666666666	703.25	655.0
Endomorphin.2	3231.5	1787.5	1760.0	1804.5	2938.0	2465.25	1737.5	2532.0	1494.0	2219.0	2352.625	2053.3	2663.5	1414.5	2589.5	1992.1666666666667	1866.2857142857142	3713.0	2383.0	1918.75	1657.5	2579.5	1705.5	2555.0	1906.75	3541.0	2014.1	2534.6666666666665	2770.5	1798.5	2154.0	1872.0	3462.9285714285716	2025.0	2657.125	2610.4166666666665	2069.0	1994.5
Mesobilirubinogen	2706.5	4275.25	1632.5	1538.0	11018.0	2699.25	998.5	7325.75	1481.0	3872.5	2835.625	1805.6	1810.6	2156.5	5217.125	4042.1666666666665	3920.214285714286	11071.0	3411.0	1537.0	3358.3333333333335	2757.25	2244.0	3352.625	1701.0	2561.5	8918.5	4383.833333333333	2330.0	2361.75	3507.1666666666665	2910.5	5612.642857142857	13782.5	3762.375	2578.0	3216.0	15804.5
DG.14.0.20.1.11Z..0.0.	973.0	310.25	483.0	384.0	658.0	700.25	417.5	429.25	479.5	893.0	536.0	504.6	588.6	614.25	582.5	471.5	488.7857142857143	1108.5	570.5	597.25	542.8333333333334	660.75	616.0	604.5	610.0	695.0	713.4	563.8333333333334	836.0	793.75	585.0	605.5	626.5714285714286	657.6666666666666	617.25	781.0833333333334	778.25	807.5
X2.Hexaprenyl.3.methyl.5.hydroxy.6.methoxy.1.4.benzoquinol	1412.5	622.25	1064.5	740.5	964.5	1107.625	1129.5	931.0	761.0	2908.75	1137.875	4204.1	970.0	1220.75	1219.625	989.3333333333334	1459.9285714285713	1564.5	1250.0	1634.0	1349.5	1306.25	1346.5	1429.75	1094.5	858.5	1528.2	1305.3333333333333	1092.0	1713.75	1494.1666666666667	1242.0	2079.0714285714284	1830.3333333333333	1739.5	2057.8333333333335	1711.0	2518.5
X.23S..23.25.dihdroxy.24.oxovitamine.D3.23..beta.glucuronide.	2789.0	2463.75	1852.5	1681.5	2359.5	2150.625	1863.0	3035.0	1402.5	3397.25	2552.75	3152.2	2238.3	1782.0	2286.75	3228.8333333333335	2625.285714285714	3918.0	2919.5	2423.0	2326.1666666666665	2698.75	2069.0	2689.75	2479.25	3382.5	2715.8	2798.1666666666665	2296.0	2292.75	2329.8333333333335	2794.5	2714.5714285714284	3009.3333333333335	2337.625	2880.0833333333335	2750.75	2975.0
Diglyceride.with.formula.C39H66O5	1578.5	2818.75	2078.0	1441.0	1644.5	1820.5	1887.5	1828.75	1093.5	2269.5	2356.125	4549.6	1841.1	2977.0	3077.25	2882.0	3822.1428571428573	2684.5	2968.0	3469.0	1917.3333333333333	2269.75	2894.5	2130.875	3456.5	1004.5	10429.0	2536.1666666666665	1794.0	3912.0	3808.0	3774.6666666666665	3378.0	5888.166666666667	4089.125	5733.5	4238.0	3124.0
Diglyceride.with.formula.C39H72O5	2752.5	28373.75	12690.5	11747.5	7157.5	10977.0	6118.0	12510.0	12468.5	15105.0	18414.375	33691.1	10477.4	28776.25	33651.25	24832.833333333332	19143.714285714286	23245.0	15019.5	13132.75	7341.666666666667	12628.75	18522.0	20142.5	37978.75	6092.5	184812.0	17845.0	7839.5	10833.75	32128.333333333332	22329.166666666668	29267.928571428572	69263.0	32541.5	28348.166666666668	36138.0	15343.0
Ceramide.with.formula.C42H81NO3	898.0	1328.5	1784.5	997.0	3874.5	2346.125	1586.0	1461.75	1218.5	5059.25	1565.125	2213.6	1581.0	3158.5	2534.75	1100.3333333333333	2043.642857142857	1541.0	1251.0	3061.25	2365.1666666666665	2978.25	10337.0	15921.375	6977.0	1362.5	2399.2	2060.5	2018.5	4871.25	2174.3333333333335	1466.3333333333333	5286.428571428572	6518.0	6684.125	3389.5	20670.75	3503.0
X.3a.5b..24.oxo.24...2.sulfoethyl.amino.cholan.3.yl.b.D.Glucopyranosiduronic.acid	2041.0	1469.5	866.5	960.0	1882.0	1680.875	1226.5	1488.25	1477.0	3172.75	1854.125	1657.3	1538.7	1125.25	1511.5	1314.3333333333333	1399.7142857142858	1782.0	1259.0	1132.75	1365.8333333333333	2303.0	1264.0	2327.375	1449.0	2138.5	1150.1	1753.5	1942.5	1847.25	1413.5	1422.3333333333333	2007.642857142857	1481.5	1359.125	1735.8333333333333	1694.0	1444.5
DG.18.4.6Z.9Z.12Z.15Z..22.6.4Z.7Z.10Z.13Z.16Z.19Z..0.0.	2526.0	1487.25	1955.0	1743.0	2072.0	2048.375	1453.0	1477.75	2424.5	3486.5	2544.75	1719.1	2280.3	2180.0	2175.125	1539.1666666666667	1893.142857142857	2298.5	1576.5	1606.5	1679.5	2347.0	1993.5	1999.0	2337.25	1656.5	1682.6	1793.5	2918.0	2364.75	1646.8333333333333	1973.0	3077.714285714286	2171.8333333333335	2223.5	2273.8333333333335	2524.0	2161.5
Diglyceride..16.0.22.6.4Z_7Z_10Z_13Z_16Z_19Z..0.0.	1753.0	5156.25	4583.5	4204.0	3024.5	3873.75	4192.0	3706.75	3713.0	9858.0	5580.5	16293.4	3925.8	15536.5	7965.75	4670.333333333333	9165.785714285714	5013.5	7698.5	7517.5	4489.666666666667	4348.25	10394.0	4632.875	11212.75	2460.5	17165.8	6614.833333333333	4234.0	7721.0	5979.333333333333	8886.333333333334	10807.57142857143	15500.5	14155.375	10045.666666666666	10605.25	8504.5
Glycogen	20652.0	10053.5	21078.5	32135.5	124886.0	37303.875	36022.5	4232.0	30127.0	8452.75	20495.0	51572.7	32292.1	13310.5	17704.375	14771.833333333334	18493.5	7401.5	13016.5	42841.0	16710.166666666668	49364.0	88045.5	94055.25	15997.0	8853.0	20904.0	13734.333333333334	14418.0	29039.0	17764.333333333332	9884.833333333334	53647.28571428572	21524.5	33783.375	21536.666666666668	6791.25	7460.5
Phosphatidic.acid..16.0.18.1.11Z..	1790.5	3082.0	2875.5	2598.0	6469.5	6134.5	2607.5	5917.75	3034.0	16830.5	9330.875	4377.7	5495.7	10420.75	6551.625	4779.166666666667	10478.714285714286	7851.5	6189.0	5548.5	4989.666666666667	6757.25	13886.5	7959.125	11218.5	5748.0	3824.1	6292.833333333333	5508.5	12346.75	4217.666666666667	10497.333333333334	8453.5	14009.0	7929.125	7525.083333333333	16653.75	12754.0
Diglyceride..18.2.9Z.12Z..22.6.4Z.7Z.10Z.13Z.16Z.19Z..0.0.	1504.0	2626.0	2618.0	1963.0	1654.0	1840.0	2461.5	1728.75	1056.5	4313.5	1520.375	4636.2	1786.6	2661.75	3522.25	2406.1666666666665	3692.714285714286	1988.0	7106.5	5558.75	2395.6666666666665	2485.75	3072.0	2570.5	2874.75	1738.0	6275.6	2449.5	2629.5	3849.0	3232.0	4134.166666666667	3964.0714285714284	6858.0	5652.0	5309.5	3359.0	3708.0
Phosphatidylcholine..14.1.9Z..15.0.	1318.5	715.25	974.5	865.5	1688.0	1866.5	934.5	985.0	763.0	3827.5	2062.25	1106.0	1399.0	2386.25	2070.125	1127.0	2689.1428571428573	2103.0	1521.5	1733.0	1365.0	1436.75	3091.0	2073.25	2561.5	1255.0	1271.2	1625.8333333333333	1733.0	3061.25	1169.5	2825.1666666666665	2443.714285714286	3685.1666666666665	2269.375	2240.0	6316.25	2618.0
Phosphatidylcholine..14.0.15.0.	1088.0	523.75	730.0	620.5	1492.0	1385.125	674.0	862.0	652.0	2666.0	1204.125	679.8	975.9	1303.5	1197.625	837.1666666666666	1242.7857142857142	962.5	991.5	1046.25	971.8333333333334	1177.25	2051.5	2174.75	1315.75	949.5	714.4	924.3333333333334	1542.5	1798.25	872.3333333333334	1263.3333333333333	1562.9285714285713	1808.0	1268.5	1312.1666666666667	3471.0	2055.5
SM.d18.0.14.0.	1860.0	1331.5	1369.0	1295.5	1626.5	1472.875	1296.5	1239.0	1626.0	2516.0	1275.75	1432.2	1437.9	1421.0	1527.5	1328.5	1346.2142857142858	1734.0	1244.5	1486.25	1464.6666666666667	1657.0	1756.0	1834.75	1413.5	1497.0	1334.5	1516.1666666666667	1520.5	1442.75	1610.5	1458.3333333333333	1729.0	1693.8333333333333	1511.0	1730.3333333333333	1793.25	1776.0
Phosphatidylethanolamine..14.0.20.2.11Z.14Z..	3375.0	23731.75	17557.0	12827.0	57000.5	62195.0	48121.5	43318.0	9021.5	256902.25	62583.625	16067.2	32149.0	60532.5	66430.25	37095.666666666664	174617.42857142858	85107.5	45491.0	79150.25	50875.833333333336	28838.25	219965.5	50871.5	150408.25	11833.5	43634.9	57984.833333333336	32512.5	180437.5	33919.5	149740.0	100878.0	283916.6666666667	100715.625	109340.58333333333	332540.75	148856.0
Phosphatidylcholine..15.0.18.3.6Z_9Z_12Z..	7778.0	34577.25	31316.0	36107.0	68680.0	82011.25	54472.5	44686.75	17434.0	310292.75	154823.125	50827.9	59406.0	126860.75	113831.5	54498.833333333336	334260.5714285714	140161.0	88221.0	114798.75	78549.5	54236.5	196749.0	82825.125	282365.5	28529.0	80189.3	93762.0	52475.5	355741.75	60785.833333333336	217914.33333333334	129371.42857142857	383922.0	169305.5	223341.16666666666	512569.5	219916.0
Phosphatidylcholine..15.0.18.2.9Z_12Z..	15889.0	150432.5	93775.0	72659.0	229029.0	231671.75	159699.5	355989.75	55790.0	919277.75	342752.875	177687.0	159638.1	299277.25	252492.625	205484.33333333334	543770.2142857143	295993.0	302024.0	308359.75	230454.5	219505.0	692046.0	253336.875	527157.5	134514.5	212263.1	315763.6666666667	151242.5	717400.5	219773.0	543486.5	342810.4285714286	813884.5	362906.75	463002.3333333333	959165.0	696791.5
Phosphatidylcholine..15.0.18.1.11Z..	5881.5	53734.5	27039.0	24310.5	80294.0	82753.875	37153.5	155622.0	25697.0	337627.5	95883.625	55141.9	53540.0	125372.25	100335.125	63507.5	174666.57142857142	109291.5	99491.0	81798.25	70857.66666666667	79314.5	212544.0	115809.125	142388.0	67278.0	66424.6	102038.83333333333	59033.5	196525.0	74417.5	157499.16666666666	123471.42857142857	251739.16666666666	115929.0	115288.16666666667	302077.25	222889.5
Phosphatidylethanolamine..20.3.5Z_8Z_11Z..P.18.1.11Z..	2518.5	10992.75	13125.0	14687.5	28323.0	30948.875	28062.0	16118.5	6322.0	174304.5	40174.5	16053.2	18100.0	56102.5	39177.0	27580.666666666668	90165.14285714286	58824.0	28442.5	45632.25	31717.666666666668	15978.0	101733.0	25211.375	90643.75	8045.5	17430.7	37878.5	16451.0	128299.0	17192.333333333332	70085.33333333333	39273.142857142855	144665.66666666666	54789.25	40947.75	177395.0	138608.0
Phosphatidylethanolamine..16.0.22.6.4Z_7Z_10Z_13Z_16Z_19Z..	31377.0	233139.25	227350.5	192012.5	684714.5	1104646.125	517443.5	324720.5	74291.5	5228918.75	1126442.125	278088.6	418274.6	1772338.5	1206194.0	491738.6666666667	3280662.3571428573	1579885.0	703128.0	1583148.25	768683.5	305303.75	4142415.0	485107.75	2796686.5	128118.5	490966.2	977239.8333333334	281041.0	4012547.75	416991.6666666667	2915222.1666666665	1749407.857142857	4534169.333333333	1852185.0	1243444.6666666667	3934231.25	2763413.5
Phosphatidylcholine..15.0.20.4.5Z_8Z_11Z_14Z..	41999.5	300858.25	242046.5	211365.5	663534.5	709823.875	386384.5	347666.25	110300.5	3099698.25	927453.25	611137.0	419052.5	1451316.75	842111.125	722815.1666666666	2178351.5	1233779.5	951534.0	1071877.0	721515.3333333334	423663.0	2411385.0	750807.125	2009269.75	203177.0	368416.5	967928.3333333334	293606.0	2688127.0	472592.1666666667	1679275.5	1136555.642857143	3151483.6666666665	1583013.75	1147933.1666666667	3583204.75	1773207.0
Phosphatidylglycerol16.0.20.4.5Z_8Z_11Z_14Z..	1464.0	5880.75	7670.0	4817.0	15596.5	15558.25	25103.5	11163.25	2931.0	47934.0	30189.0	25937.0	9195.3	20943.5	16376.875	16098.833333333334	30473.071428571428	12707.5	11580.5	28824.75	18187.666666666668	16540.75	99832.0	20520.375	31509.25	4005.0	25966.2	33013.0	10180.5	96834.5	9665.333333333334	51983.666666666664	24020.214285714286	347645.6666666667	22221.5	50664.916666666664	62257.25	105956.5
Phosphatidylcholine..14.0.22.4.7Z_10Z_13Z_16Z..	2809.5	10970.75	8428.5	9007.5	19409.0	16293.25	8365.5	10576.5	4974.0	57541.25	27699.0	21232.3	12953.8	35325.0	19006.125	20222.5	46924.07142857143	27504.0	25398.0	21214.5	20107.166666666668	15748.5	28806.5	20876.375	38407.25	11889.5	12424.8	21238.666666666668	12675.5	41511.75	16065.666666666666	44149.333333333336	25589.85714285714	51588.166666666664	33688.375	28061.166666666668	64572.0	32962.0
FAD	2744.0	1415.75	2151.5	2050.0	5392.5	3518.75	2911.5	2067.25	1404.0	3636.75	2384.875	2668.6	3053.1	2770.5	3326.125	3040.1666666666665	3713.6428571428573	4266.5	3310.5	3844.5	3197.1666666666665	3213.5	3187.5	3548.25	2212.25	3488.5	2706.9	2634.8333333333335	3416.5	9911.25	2800.3333333333335	2450.8333333333335	3913.0	2917.6666666666665	2465.125	3467.0	3731.0	5129.5
Phosphatidylglycerol18.0.18.0.	10488.0	79960.25	42113.5	31964.0	49948.0	53315.125	57870.5	113848.0	32902.5	161177.5	68095.375	63827.8	44736.5	80763.25	61203.625	52559.666666666664	104692.35714285714	63714.0	76263.5	76311.75	65021.666666666664	60908.75	134404.5	50372.625	84903.75	36826.5	68804.3	80857.83333333333	46146.0	113746.5	72570.5	116943.33333333333	73195.5	142086.5	86089.375	86291.08333333333	144484.25	117690.0
Phosphatidylcholine..16.0.22.6.4Z_7Z_10Z_13Z_16Z_19Z..	3239.5	12693.75	11439.5	10921.0	15684.5	19535.375	11041.5	13346.25	6264.0	67745.25	32656.375	24086.0	13967.9	43514.0	22880.25	23786.666666666668	53049.92857142857	30912.0	29055.0	27356.25	23312.5	17567.0	45318.5	19452.75	41343.5	11490.0	14103.5	26083.666666666668	13780.0	52230.0	19650.166666666668	52465.5	28027.714285714286	61107.166666666664	32919.625	30151.833333333332	63969.75	58020.5
Glucosylceramide..d18.1.24.1.15Z..	2773.0	1670.25	2861.0	2375.0	2772.0	2674.25	2729.5	1972.25	2827.5	3066.75	2270.0	2304.2	2501.9	3066.0	2328.5	2501.3333333333335	2256.714285714286	2413.5	1649.0	2457.75	2207.3333333333335	2577.75	3665.0	3474.375	2666.0	2128.0	1959.5	2414.0	2723.5	2632.75	2448.3333333333335	2222.8333333333335	2730.9285714285716	2996.8333333333335	2782.0	2869.9166666666665	3942.25	2899.5
PC.20.4.5Z.8Z.11Z.14Z..P.18.1.11Z..	1573.5	3616.5	3397.0	2824.0	4555.5	4421.5	3823.5	3670.25	3232.0	14036.0	5570.75	4170.3	3953.9	7051.75	4328.75	4014.5	7170.285714285715	5430.5	5130.5	5608.75	4923.333333333333	4852.5	14505.0	5057.875	8833.0	3060.0	3464.9	5201.833333333333	4258.0	11677.5	4134.333333333333	7062.166666666667	8194.285714285714	11416.333333333334	6919.75	6076.0	15904.5	8625.5
Propionyl.CoA	1520.0	1114.25	1639.5	1569.0	2007.0	2073.875	1915.5	1677.0	1071.5	3231.5	1925.25	1778.5	1828.7	1987.0	1853.875	1871.6666666666667	1967.4285714285713	2313.0	1949.5	2312.0	2417.3333333333335	1970.0	2370.0	1789.125	1840.25	2091.0	1621.0	2130.3333333333335	1906.5	2839.0	1719.8333333333333	2290.3333333333335	2200.5714285714284	2847.3333333333335	1949.125	2223.75	2877.5	2535.0
Phosphatidylglycerol.with.formula.C46H83O10P	11910.5	46043.0	39933.0	38329.5	32055.0	44058.125	32027.0	31564.5	20249.0	129337.75	63849.125	70092.9	35382.4	103381.75	55585.5	52012.833333333336	109301.92857142857	66382.5	74505.0	71564.0	55813.833333333336	42787.5	103784.0	39508.375	83689.75	23116.5	39186.4	61997.333333333336	32140.0	114939.25	51605.666666666664	111565.33333333333	59365.28571428572	129314.66666666667	79050.75	65737.33333333333	119737.0	127756.5
Phosphatidylcholine..16.0.22.5.4Z_7Z_10Z_13Z_16Z..	12752.5	42552.75	36221.0	42527.5	37733.0	37188.75	25292.0	26503.75	23310.0	96997.0	68212.25	72900.8	37558.2	100037.75	53839.875	44089.5	111100.0	63719.5	70574.0	58202.25	54923.833333333336	47037.25	64167.0	56792.875	83426.75	26204.5	36990.6	50960.166666666664	36022.5	95764.5	51779.666666666664	97007.83333333333	52388.42857142857	97119.83333333333	81240.25	72557.83333333333	145254.5	87488.5
P1.P4.Bis.5..adenosyl..tetraphosphate	2515.0	2444.5	6622.5	5543.0	8898.0	6919.0	7293.5	2380.5	3333.5	6904.0	5914.25	6018.2	7284.6	6822.75	5903.0	4604.666666666667	5732.928571428572	9665.0	4816.0	7486.25	6114.333333333333	6988.75	6775.0	5015.875	5159.25	4998.5	4910.6	6781.166666666667	6533.0	8122.25	5336.666666666667	6260.166666666667	7024.928571428572	6745.0	6095.5	6945.333333333333	7437.5	7668.5
Sphingomyelin.with.formula.C47H93N2O6P	2516.0	2399.0	3340.5	2588.5	4049.5	3513.75	3063.0	2950.25	3395.5	5430.5	3024.25	2434.4	3008.3	4754.5	3212.25	2656.6666666666665	3837.0714285714284	2872.5	2582.0	3815.5	3041.0	3535.75	9390.5	6139.625	5775.25	2528.0	2302.9	2886.8333333333335	3981.5	5026.0	3010.6666666666665	3459.0	4176.785714285715	4407.166666666667	5182.0	3913.1666666666665	8609.75	4688.0
Phosphatidylserine..18.0.22.5.7Z_10Z_13Z_16Z_19Z..	5502.5	32184.0	16872.5	13796.0	25492.0	24466.5	22056.5	48435.75	16724.5	58458.0	28651.125	25111.8	20455.4	33377.25	27554.375	20275.333333333332	41405.357142857145	27782.0	32643.0	29761.75	24504.333333333332	26549.5	50204.0	24832.0	31550.25	20329.5	26191.1	30577.666666666668	25274.0	43040.75	30410.333333333332	44057.333333333336	32168.64285714286	52155.5	33655.375	30008.833333333332	56726.5	47260.5
Phosphatidylserine..18.0.22.5.7Z_10Z_13Z_16Z_19Z...1	5502.5	32184.0	16872.5	13796.0	25492.0	24466.5	22056.5	48435.75	16724.5	70571.5	28651.125	25111.8	20455.4	33377.25	27554.375	20275.333333333332	41405.357142857145	27782.0	32643.0	29761.75	24504.333333333332	26549.5	50204.0	27457.0	31550.25	20329.5	26191.1	30577.666666666668	25274.0	43040.75	30410.333333333332	44057.333333333336	32160.071428571428	52155.5	33655.375	33628.666666666664	56726.5	47260.5
X3.O.Sulfogalactosylceramide..d18.1.22.0.	1492.0	1816.0	2401.0	1948.0	2852.5	2859.25	2725.0	2309.25	2320.0	4603.25	3040.0	2294.6	2483.3	3594.5	2725.5	2251.5	3479.214285714286	2983.0	2244.5	2789.75	2492.8333333333335	2986.0	3662.0	3133.625	3257.25	2080.0	2148.5	2571.1666666666665	3423.5	3907.5	2217.0	3342.5	3394.285714285714	3794.6666666666665	3356.0	3239.5833333333335	3904.0	3171.0
Tricaprylic.glyceride..16.0.18.0.20.4.5Z_8Z_11Z_14Z...iso6.	2281.5	938.75	2817.5	2585.0	2687.0	2772.25	2843.5	1138.0	1923.5	2225.5	2466.625	2137.4	2547.7	3531.0	2264.625	1915.0	2359.1428571428573	2332.5	1576.0	2765.75	1997.0	2485.25	3328.5	2339.375	2727.25	1660.0	2409.1	2445.8333333333335	3342.5	2571.75	2102.1666666666665	1862.8333333333333	2761.9285714285716	2521.1666666666665	3353.125	3576.9166666666665	2027.75	2387.5
Phosphatidylinositol18.0.22.6.4Z_7Z_10Z_13Z_16Z_19Z..	2489.0	5980.5	6557.5	4983.0	6962.5	6834.75	5170.5	5669.0	4728.0	17623.75	8417.25	9097.0	6659.0	13277.5	7346.0	6148.166666666667	11296.642857142857	9399.5	9208.5	8995.25	7632.5	8526.75	19327.0	8092.625	12065.5	5154.5	5083.8	9280.5	6551.5	18560.0	7062.166666666667	11905.5	11388.57142857143	12309.0	11727.25	9840.666666666666	18897.5	13383.0
Adipoyl.CoA	1683.0	1042.0	1751.0	1954.0	4371.5	3531.25	2145.0	2960.25	1240.0	2007.5	2736.0	2007.9	2693.6	1815.5	2415.625	3757.5	2344.1428571428573	2919.0	4921.0	2836.5	2836.8333333333335	3007.5	1871.5	2350.5	2224.75	4386.5	1839.6	3693.6666666666665	3514.0	2019.5	2623.3333333333335	2219.5	2401.714285714286	2176.1666666666665	1948.5	2779.5833333333335	1588.25	1876.0
PIP.16.0.20.3.5Z.8Z.11Z..	3352.0	4079.25	4546.5	4078.0	4921.0	4833.0	4422.0	4282.5	4138.5	7598.75	5133.375	4978.5	4892.4	6158.75	4648.0	4321.833333333333	5898.5	5329.0	5199.5	4757.5	4801.0	5263.0	5952.0	4824.75	5368.75	4251.0	3724.7	5045.666666666667	5226.5	6105.25	4535.0	6347.333333333333	5162.142857142857	6383.5	5778.625	5438.166666666667	7124.25	5656.5
PIP.20.1.11Z..18.1.11Z..	1932.5	1991.25	3043.0	2754.0	3189.5	3310.75	2589.5	1941.0	2301.5	4876.0	3507.5	3035.0	3115.4	4065.5	2844.625	2424.0	3598.0714285714284	3476.0	2832.5	3449.25	3151.0	3779.5	4407.5	3190.875	3341.0	2603.0	2013.9	3128.6666666666665	4215.5	4324.0	2626.3333333333335	3861.5	3502.3571428571427	3948.3333333333335	3735.125	3422.6666666666665	4823.25	4048.5
row_mean	67711.61780821919	105652.74041095891	89427.31643835617	103263.96575342465	152251.6780821918	124970.36335616438	114783.0890410959	128695.88082191782	49354.14794520548	136112.2095890411	124782.32363013699	151988.20547945207	122418.80328767124	103370.05753424657	141126.951369863	140450.16849315068	154889.20567514678	175486.36575342464	173363.56164383562	148726.15273972604	132119.03333333333	120908.32808219179	117351.25479452054	127460.59760273973	137086.051369863	143729.7410958904	173198.37726027396	141822.10502283103	117527.9095890411	150468.89520547946	154484.99771689498	165981.84885844748	143912.914481409	185364.48584474885	131110.12260273972	156263.12625570776	151173.78493150685	171612.33150684932
