@format=row	BXD65b	BXD53	BXD100	BXD66	BXD73b	B6D2F1	BXD40	BXD61	BXD51	BXD77	C57BL/6J	BXD67	BXD98	BXD73	BXD70	D2B6F1	BXD89	BXD63	DBA/2J	BXD29	BXD32
Glycerophosphocholine	3083.5	16325.0	24636.0	26281.0	21158.25	19974.333333333332	16937.75	23688.0	12275.0	18106.0	13040.785714285714	12324.75	13603.5	13939.833333333334	11984.5	30758.5	14006.0	14309.5	19873.0	16682.833333333332	22735.25
X2.Hexenoylcarnitine	2060.5	1750.5	1308.0	1580.5	1521.0	1349.1666666666667	2879.0	1821.0	1735.0	1926.25	3107.309523809524	1958.5	2057.0	1635.3333333333333	2142.75	1466.8333333333333	2291.0	1975.75	2345.0	2074.1666666666665	2514.25
Fructose.6.phosphate	29373.0	387494.5	290269.5	306886.0	173852.75	262392.6666666667	107350.25	55897.5	71139.0	215774.0	240740.5	83802.25	138712.0	298124.1666666667	166127.75	261399.16666666666	93473.5	125996.5	126636.5	144960.83333333334	107571.25
L.gamma.glutamyl.L.leucine	2549.5	18988.5	6862.5	9861.0	9022.75	6085.333333333333	7600.0	5936.0	8373.0	6737.25	7970.9047619047615	7900.25	6552.5	7106.833333333333	6024.25	7042.0	8311.5	7388.75	8801.666666666666	6587.5	7632.5
Palmitaldehyde	1018.0	45616.0	2225.0	2094.5	6941.75	9253.333333333334	2520.0	10130.5	6264.5	2608.5	8899.666666666666	6454.5	4229.0	5195.0	2984.75	5046.666666666667	15193.5	11907.0	4688.166666666667	5009.833333333333	12257.0
X5.6.Dihydrouridine	2027.0	25835.0	2440.0	2165.0	2594.5	2395.6666666666665	3214.5	3203.5	4081.5	2442.5	2663.3809523809523	4133.5	3404.0	2971.5	4246.75	2593.5	3917.5	2966.5	3524.5	3142.3333333333335	4710.75
Adenosine	3401.0	13926.0	35355.5	17543.0	22644.75	22739.0	23330.5	66147.5	44088.0	20165.75	12349.047619047618	13719.0	73105.0	31688.166666666668	19627.75	20300.333333333332	54004.0	36336.25	51263.166666666664	40280.666666666664	20197.5
X6.Hydroxymelatonin	2550.5	7956.0	4271.5	15042.5	10858.75	8033.333333333333	60465.0	39221.0	118478.5	58122.75	29608.166666666668	138954.75	11216.0	49884.0	38388.0	18909.0	51566.0	156160.25	71099.0	9437.5	104497.5
X3.Oxohexadecanoic.acid	33442.0	38219.5	19364.0	26872.0	22927.25	22413.0	39217.25	31167.0	29115.5	22970.75	33786.5	25723.25	27121.0	29739.5	24922.0	19688.5	33328.5	33215.5	37319.833333333336	30622.666666666668	29614.0
X.R..3.Hydroxy.hexadecanoic.acid	22564.5	28288.0	10307.5	16631.5	12932.5	13933.0	23830.5	17253.0	15268.5	14774.5	27867.261904761905	17775.5	18970.5	16686.166666666668	15460.25	12752.5	31969.5	20803.0	22319.5	18032.833333333332	22462.5
