@format=row	D2B6F1	BXD48	BXD44	BXD51	BXD86	BXD77	BXD9	BXD65	BXD60	BXD50	BXD40	BXD43	BXD24	BXD89	BXD63	BXD45	BXD69	BXD64	BXD27	BXD95	BXD102	BXD34	BXD100	BXD70	BXD101	DBA/2J	BXD84	BXD62	BXD65b	BXD87	BXD98	C57BL/6J	B6D2F1	BXD73b	BXD29	BXD32	BXD48a	BXD90	BXD61	BXD79	BXD66
Phenylpyruvic.acid	9599.0	38282.0	13090.5	9085.0	10245.75	8679.166666666666	10179.5	10709.0	10587.25	7897.0	11005.0	9523.0	6063.5	9447.25	9783.0	7254.0	7785.0	10334.75	10468.5	9421.5	11146.75	11866.5	8733.0	11994.5	8552.333333333334	10294.333333333334	9127.5	11053.25	7558.125	9081.5	9078.0	10577.5	10322.25	7020.0	10282.375	9609.875	7876.875	9469.166666666666	8065.25	7119.5	11803.75
L.Fucose	9820.625	13010.5	15381.0	12134.5	12164.25	11558.0	9290.25	12140.25	10858.5	13218.5	13903.5	13933.5	9813.5	12195.0	10945.0	14903.0	11965.5	11068.25	14332.5	9928.5	17337.625	11137.5	13438.25	16896.0	14518.666666666666	15286.833333333334	12220.25	11259.5	12591.875	10377.0	11592.0	13148.4	13222.416666666666	13657.5	14913.75	12646.25	13035.875	10569.666666666666	14508.0	13210.666666666666	11560.75
Kynuramine	2516.5	8715.0	882.5	899.75	976.75	1049.0	1055.75	939.5	987.5	962.5	934.0	953.6666666666666	9665.0	1052.25	1083.0	1263.5	931.25	981.25	1336.25	1289.25	1234.875	1401.5	1099.0	1384.5	1008.0	1932.1666666666667	1153.5	1165.5	1084.375	1036.5	1310.0	1150.7	1029.5	1223.75	1223.75	1255.125	1072.0	1122.3333333333333	1300.0	1275.1666666666667	1669.0
Methionine.sulfoxide	5493.125	296974.0	15189.5	5918.75	15843.75	6156.833333333333	7403.25	7576.0	11147.5	11055.0	46835.5	6451.833333333333	57372.0	6801.5	6650.0	5752.5	5049.5	5755.0	12898.5	14485.0	8634.875	23655.0	4977.25	100336.5	4721.833333333333	9059.333333333334	5924.0	5676.75	4746.5	9205.75	7407.75	13851.0	11353.083333333334	3131.75	18822.125	5176.625	4506.125	5928.5	5732.75	5968.0	26348.5
L.Phenylalanine	151103.875	7936628.5	133640.5	109438.25	90436.75	105106.0	81853.0	108615.75	101997.5	147409.0	155206.5	126430.0	2045330.0	159623.75	119788.0	115188.0	113924.25	143147.75	125488.75	71951.0	121954.625	97005.5	117406.5	138705.5	118511.33333333333	139113.33333333334	184195.0	101270.75	110319.875	122237.25	111423.0	106838.8	144130.58333333334	94377.0	115127.625	88303.5	106967.125	116581.0	107666.5	98717.0	109764.75
Benzoquinoneacetic.acid	22740.0	106506.0	178691.5	16802.0	30647.0	26305.333333333332	24319.0	23746.5	24431.75	19551.5	33379.0	20058.5	21352.5	28922.5	27059.0	14576.0	18308.0	22297.75	23250.0	339095.5	27385.875	25850.0	22453.0	31006.5	17087.666666666668	26595.833333333332	18638.25	17918.75	14640.125	20573.5	21864.0	29857.0	31661.416666666668	16434.5	28807.625	17932.625	16678.25	65015.666666666664	19260.25	56950.666666666664	53112.5
X3..3.Hydroxyphenyl.propanoic.acid	7975.375	2718167.5	7498.0	9489.75	5456.25	5627.666666666667	5646.25	6266.75	4331.0	3755.0	4868.5	5908.666666666667	156979.5	7017.0	11126.5	7694.0	7931.75	8979.0	6912.75	7390.5	8538.5	7952.5	10415.25	5839.5	6839.0	11241.166666666666	20683.5	9293.75	7354.875	6574.75	10722.5	7174.9	7631.75	7517.5	7003.5	7221.375	5932.5	9073.833333333334	7213.75	6551.666666666667	8022.5
Homocysteinesulfinic.acid	867685.5	1566892.5	326823.0	989364.25	120596.5	271619.0	461364.0	343479.0	314269.5	96595.0	92362.5	814012.0	237578.5	484823.25	218078.5	530523.0	692289.75	582194.0	562146.25	135076.0	1057451.375	107142.0	1403608.5	111206.5	871981.3333333334	674135.0	478526.0	239565.25	1136038.5	553555.5	269298.5	277031.9	402555.9166666667	1208228.0	492907.625	870111.125	1114686.875	295816.0	536783.0	1462205.1666666667	288525.0
Taurocyamine	68424.375	110527.0	32494.0	76168.75	33477.75	36999.833333333336	56454.75	39662.75	34834.25	16198.0	24794.5	54726.666666666664	20339.0	36837.5	31148.0	46973.0	52285.75	52197.25	55878.5	28045.25	86659.5	18863.5	86929.25	16725.0	65861.0	73816.66666666667	75894.0	39034.25	79546.875	50933.5	30530.75	30420.2	42147.833333333336	80642.5	49843.5	67387.0	77624.0	35969.166666666664	50368.75	104868.5	37124.75
Pyridoxal	10131.625	45398.5	4263.0	8746.25	4605.5	6290.333333333333	6486.0	5009.25	4490.25	3455.0	5645.5	5429.166666666667	12212.0	10338.5	7486.5	7753.5	10056.25	5592.5	5354.25	8062.0	6823.75	5931.0	8508.0	5510.0	6580.666666666667	10085.0	10375.0	7790.0	7109.375	8371.0	7165.25	6396.7	5561.083333333333	6241.75	6534.25	7854.875	6708.375	8266.833333333334	11107.75	9919.666666666666	7700.25
