@format=row	BXD56	BXD45	BXD49	BXD101	BXD40	DBA/2J	BXD87	D2B6F1	BXD65b	BXD100	C57BL/6J	BXD48	BXD65	BXD69	BXD70	BXD73	BXD84	BXD63	BXD68	BXD66	BXD79	BXD81	BXD29	BXD98	BXD62	BXD90	BXD64	BXD102	BXD60	B6D2F1	BXD44	BXD73b	BXD48a	BXD32	BXD9	BXD61	BXD89	BXD27
N.Decanoylglycine/L.Tyrosine	5.90795679294082	42.8021252153935	27.0238284352661	42.203682611997	24.5725092547883	46.2480304265145	37.7609448818898	53.9510879789302	34.0072429197207	49.6935666495111	11.4159552242656	55.4906048150323	38.8457721220459	25.9998535442296	57.9768637532134	61.1138370118845	34.5702922678505	50.2262651610205	41.7368830984918	27.0202705801422	32.6190705514086	2.62019646365422	25.3538420913652	29.0177089097952	46.3990929705215	37.2192558932122	39.8219880375961	30.6893037336024	18.815784029789	27.127365978752	31.2143467852257	24.3310164083865	40.9393587850664	47.3908905506458	37.3321117148995	23.1313903164728	111.876413033153	37.6731367191181
D.Ribulose.5.phosphate/L.Tyrosine	1.92266369600198	2.16296586555207	1.50504290896222	1.02642835213488	0.89668681244457	1.20011702337648	1.39267252895327	2.37539999171717	1.51799179542379	1.30688998013026	1.1336046490781	1.23810054109293	1.4311925941212	2.61576884540579	2.19817671444723	1.57040894009759	1.50287488038085	1.31579178034163	1.8852265022324	2.13694461571942	1.14296441603915	1.38870609011471	1.38885473547174	1.40040461771638	1.53882406026346	0.78821725009022	1.39326660056502	1.21566331037625	1.09513689888506	1.01129447112649	1.09428493497229	0.766212981868157	1.84007148172902	1.97202701119	1.19745194529344	1.37447512968566	6.55707612562705	1.81257480143619
Sedoheptulose/L.Tyrosine	11.6528132033008	22.1221611993469	25.2022222222222	22.4144571025305	21.3702407614782	22.7106456776948	20.9270378774655	26.8233203429462	32.2080509344835	24.275808316991	10.5856691858797	26.3195933713967	33.7932979996581	26.5322074428337	30.4331594098597	21.7314960154552	12.6952652673052	28.157327080891	25.6896927435171	24.2051271517193	23.4717144589795	18.7419898819562	20.6962332273536	15.4390872285609	23.9181765049679	17.8906484641638	20.6842222057845	23.713918128655	18.6326948683806	20.2761956918583	8.26073085190632	20.7048385532823	29.9573236610588	23.4697960754136	26.3240955266441	20.9908566519391	71.5506075334143	23.6317158224481
Aspartyl.L.proline/L.Tyrosine	11.703737191079	14.4401705261118	11.0806057645335	14.0776926486418	6.42600387237983	8.79197438413469	10.5139875471367	11.8640613364958	15.7066022995874	10.4923280883248	12.0286987716056	10.9249132947977	13.6373954290643	12.9138721175529	12.8884105455654	14.7733680819191	12.4682767362733	10.2460895284682	10.7145453884466	9.35974137383237	9.00531808814731	8.08682997817123	11.495704750217	14.1591845001013	10.2884438112796	7.47740499828826	11.2663174858985	10.6002230664668	6.00941495160385	7.69150335849318	8.92230803069554	7.93227831643077	14.0759663499891	12.1042788044152	10.1668846365639	11.7042017381783	17.6250430253962	11.2668019274664
X3.Methoxytyrosine/L.Tyrosine	31.5032449972958	38.9843055192257	43.149017121116	40.7158685102097	25.6543438077634	38.135976702509	33.9298146313853	52.9190552343462	30.7963159341738	39.4003917407982	37.5123315535215	43.4784909132735	50.6877804846775	44.8867256637168	49.8151965837137	49.1245991129307	39.3860906217071	43.5375226586103	38.6094190083186	39.1012078577117	33.7822942643391	26.910411622276	38.8017781369974	38.4632312488538	35.819693654267	34.3780167890871	31.3416274377942	45.0164298401421	25.2724367879967	31.8717360114778	31.0550357264376	32.6447026448555	40.2266321243523	38.6002214839424	42.8066946819302	38.4604227569148	76.894946461217	42.4127506099501
X4..Glutamylamino..butanoate/L.Tyrosine	11.5804174950298	16.7532598920863	13.0156847742923	9.96477153037671	8.49671638468388	12.8433798566579	10.3056689732239	20.1848254504505	15.937093495935	13.0836337028104	10.1716229259549	16.7613515431004	14.4896545404563	15.1693582842006	15.4592606132614	18.4708795155993	7.89919269622554	17.4889805825243	12.1508523839954	10.2062639666014	9.2088644165732	6.88599752168525	9.01295409743734	14.6313219393094	13.21834625323	5.6711528474987	9.08892933758045	9.71944009459589	6.220242776543	11.8503147338099	9.37841656391286	8.06408852298047	8.25894642781158	14.1268563819008	16.0191421289518	12.6846516112285	27.0256321997338	10.8935236901616
Dihydroxycoprostanoic.acid/L.Tyrosine	26.5041519736094	41.5260518250209	31.0216548894461	30.861882287618	12.9820578231293	25.8761209910321	24.783669250646	47.104188338352	47.6862494678587	30.0886880648177	28.5756343211311	30.3275032092426	38.9644670050761	36.6261605116567	30.2941703232739	42.697408220153	22.9168608215819	33.7777048565535	33.3947085150983	30.8971104934711	26.9104092173222	20.1024960810322	30.9451293207638	39.1014168530947	25.9149340369393	15.6626030835425	33.6376759292674	35.0219944725933	17.5437361365609	23.7411563535321	26.9453834231309	21.8265358274558	33.5135111801778	33.1533392214145	33.7147911435745	32.4295601061813	38.4361802813224	31.4674169683614
Hydroxypropionylcarnitine/L.Tyrosine	26.2266996848267	35.2250059087686	29.4571428571429	40.5266131972293	21.8848910550459	29.4582107631078	27.5548149850609	60.9836971930819	57.208886618999	24.3063639109858	31.6736796908544	34.7620011035497	32.5656149600461	45.7779783393502	37.870256352849	43.9110094541019	22.9196713269561	35.5333859354966	36.4533085961657	32.3616939470504	18.7458659101917	22.1100795755968	25.2621193185555	15.5685866983373	39.0931380353447	19.8679502728927	25.7533615767176	26.3180166147456	17.2705781828539	39.3248362542043	25.8777289481145	17.896991031766	37.0407442748092	22.7349981364145	30.7046045109656	35.0012278727105	53.7773059360731	20.3235398769888
X5.Sulfosalicylic.acid/L.Tyrosine	2.56945302161447	3.21110464740482	3.67101855848079	3.81467850555484	1.97244221650883	5.22879169482155	3.22651918833091	5.86942551319048	4.81944854206619	4.56212318799493	3.820823369964	4.81273713427211	5.48540584043904	4.88664703129731	4.82396475017112	4.12803472516887	4.76036068162714	4.78202524588858	3.91271158313973	4.0669358735418	4.16449936979311	2.20006598482349	3.03261925254455	4.75676411221736	3.04981927935313	3.56295369892064	3.82279761579264	4.64868624184155	2.54253847121473	2.98066524440151	3.2164769523541	3.54829007278407	5.33869237539883	3.97290520076856	3.89644529446679	3.84522083206871	13.4962469775277	5.08094953679582
Dihydrobiopterin/L.Tyrosine	1.03119274175703	9.02488797384038	16.2149410222805	8.93228340129768	11.0477603299805	10.9029716920712	8.01571170689309	17.0628086389148	16.3341596533622	8.92256085164581	10.4613202864639	23.1392017629775	16.6224034984442	14.3224687373941	11.8896074227674	13.6617769849704	11.757596728531	16.2263207674639	12.3608111225282	11.6020834153834	11.9280619882011	7.77819250688191	7.67828225274396	15.6487353577557	7.98517073170732	10.1785631067961	9.05478919759083	11.3418236061906	6.45394876889236	9.9088273339578	9.14238850073874	4.25721235321092	12.3563470842883	15.4079126014335	12.946881711005	13.0714585960488	50.5503905914671	9.45570428530886
