@format=row	BXD56	BXD45	BXD49	BXD101	BXD40	DBA/2J	BXD87	D2B6F1	BXD65b	BXD100	C57BL/6J	BXD48	BXD65	BXD69	BXD70	BXD73	BXD84	BXD63	BXD68	BXD66	BXD79	BXD81	BXD29	BXD98	BXD62	BXD90	BXD64	BXD102	BXD60	B6D2F1	BXD44	BXD73b	BXD48a	BXD32	BXD9	BXD61	BXD89	BXD27
LysoPhosphatidylcholine.with.formula.C21H39O7P/L.Serine	1.59743927697232	3.09989270386266	2.34243218993719	3.01741526304845	1.23999890248587	2.72935868514341	1.75985395624017	4.73332975314609	3.52824494172309	2.3857103032092	2.2962255606529	2.10585014293192	1.93937696961711	1.0126782064219	1.9879417092492	3.44022604753737	1.28115214409565	2.72411055571891	1.77632206786547	1.43511114242435	0.95784628341586	0.325114363808939	3.30502273448239	3.86721420190787	1.6512384165872	3.28701801039526	1.74444762449914	1.25957603864114	1.02652549725266	1.91079112478665	1.15197735960012	1.091540857896	2.34987574915948	3.55542357782208	2.05304478286783	2.43864654360789	5.15772730933398	3.27861918406331
PE.P.16.0e.0.0./L.Serine	4.63016190649445	8.44025708442886	4.36464763374486	7.75146901709402	2.18767547681286	8.24333268444617	3.98689850872426	8.98006452708439	9.63523479015291	5.16190036900369	6.37353809159471	5.07697534459328	4.7307084505156	1.79734570168993	3.63424278370898	9.19496520671306	6.12685643564356	7.5815875613748	2.94259129609973	2.5631773495871	1.62105573577116	1.52422376873662	8.20313894283765	11.2193281041882	3.18226368862501	6.61320525291829	3.51687727194045	2.05802307288935	1.83442434682745	4.25496493763717	3.29259132809833	1.53332585278276	2.56639970199292	4.98391460767698	4.57227206151593	6.9172938415473	5.97003029596831	6.00184833649715
MG.24.1.15Z..0.0.0.0./L.Serine	4.02785250830828	7.85722056023933	4.89253279515641	9.96874194933448	5.48525306469232	12.8867924528302	7.68295520651542	14.0215293244246	11.281378960066	13.6732142857143	7.18741525946013	9.85918944392083	10.2169838607046	3.08667192429022	10.9498138495905	13.7146956468649	6.69438810006761	13.3941014890849	8.2496517664936	7.11278917503274	7.26956138417456	4.55423372988104	10.8368351709313	10.9392496392496	7.48880017742293	14.6872805833108	5.9227480322612	6.40027723418134	5.42615711252654	6.63331386130351	7.48310851140026	4.9589925968936	9.68014853472501	10.3503550478543	10.5966903574838	8.99663193348069	13.0090392037376	13.1449671772429
Se.Adenosylselenomethionine/L.Serine	3.88382502543235	11.7538649308381	9.57120699379583	14.8580570843466	7.39172391233235	9.23576881134133	12.7677880897138	17.0724431818182	14.6321640316206	14.3672723681612	13.0363290856249	8.08642547928262	8.09928004769111	4.9070962888666	11.0154307116105	14.6866949983655	12.5139029322548	9.5699824398306	8.53330277031895	4.58857319854701	10.8190913564048	4.88955672426747	6.34760357432981	16.1985042735043	8.73887163561077	14.3161358252172	11.1509330406147	5.81903773445029	4.44813422445001	12.4587774294671	9.1968896713615	5.78388216371794	16.3092661481231	11.7342667133357	15.1746923894881	12.0153219004779	10.5743416164451	7.37583645404874
Chenodeoxyglycocholic.acid/L.Serine	5.98635829086633	4.90426073671703	4.51683524088368	7.53462711754397	1.85795921723401	11.1231941161019	3.8448326055313	9.41491899590529	5.74853611982789	9.26702337728518	4.3910915320607	8.23539600062982	9.03016514136715	5.95995127150906	7.53129161118509	9.54423011556764	9.13882222632453	7.14868827160494	6.72039405818032	9.17998985972621	5.08197226502311	2.9645343918787	9.07274310595065	9.75286247266178	3.42429773856607	8.14054782218231	4.9898485468686	6.25891077266566	5.13568041154248	7.05359836720206	5.56244731354541	4.1036036036036	3.71687861271676	6.76530653428583	6.73146900269542	8.85038310209153	6.15921331025197	10.2617868124359
X5b.Cholestane.3a.7a.12a.23R.25.pentol/L.Serine	5.31615957669011	5.8985300122499	11.1386609780112	9.22782193958665	3.7368116421366	10.9167311162671	5.24461917242475	15.444074528357	11.8643920678374	10.3384735645253	7.53232577665827	9.7817467738919	11.3327558549888	5.10419926969223	6.78052379195869	12.7857590073425	5.49689096158117	10.399259176114	6.98370584767112	8.0726245913009	5.12023596988279	2.87401425777553	10.2706361724501	11.4170180722892	5.56476598549769	10.9101303911735	5.30054787372815	6.54108333333333	5.1093962415034	7.65107325055347	6.13606108065779	5.41359638697409	6.36989829612997	12.4285608363609	10.8806230258142	8.80570722159267	12.8382279242257	9.13025305874307
X3.17.Androstanediol.glucuronide/L.Serine	4.08670520231214	6.97344919140719	9.05415499533147	9.88639073411685	4.8589398989356	7.08482516312531	5.56084210526316	13.9013721676042	10.7523296623502	10.7837076569565	7.5941264569903	9.46489323199421	9.27047029183288	6.27529260862594	8.80680320996527	13.124919661116	6.27996955473804	8.26025320970043	7.31747725485791	6.95700806899202	4.84779892702286	2.62828131310218	9.08117845313499	7.95060304142632	6.85276509386098	9.46519317786286	6.30701572847682	5.43016257350398	6.21104306406144	6.94937926210876	5.1386179195016	5.40503124752789	7.84489629930866	10.3471604938272	9.94871028781994	7.78833712984055	10.1640215838756	9.34398817856587
X5.Methyltetrahydrofolic.acid/L.Serine	5.2449512295645	3.46	17.0080180405913	5.57810773148816	7.66762809636919	5.29258842644669	5.83502695060528	6.04937085335164	7.73755715218811	8.17274310431998	5.52061538461539	8.54484561346185	8.45683504907829	10.8118784530387	9.94966170500677	6.80726688687536	5.57049623044897	7.20035750369161	4.77971386647102	4.35670935486458	5.03695784972511	5.1267161827594	5.74805061056348	6.6909973521624	4.57361506162806	11.976877339793	5.83430649947353	9.65711122047244	5.33330550918197	5.42981077942482	6.67333794645233	8.18950017979144	8.77244201909959	12.3735144312394	12.2856967162711	6.2625100739981	4.91338371245541	6.20647794193615
Docosa.4.7.10.13.16.pentaenoyl.carnitine/L.Serine	10.5536973047685	13.9032723772859	9.02886405959032	12.0358735095905	4.42938351465255	17.2488798370672	7.78898325076669	23.2905839866115	15.3183620689655	14.1893104457232	10.8496604335287	14.0335390394419	10.94577342588	5.33083628439117	9.5864406779661	18.5249051624608	11.3050924868691	15.027899432279	11.2488129154796	8.16280118218705	4.7751556392066	4.19832273523178	16.6217825994469	20.6395317179417	7.82367933271548	13.6410835214447	7.56967213114754	6.12939247227862	6.823988038022	9.99836477987421	8.49979661016949	6.32346136048126	7.37295520562605	14.8840348073166	12.9683240295989	13.1160042964554	14.3209973166369	15.4467729493443
Taurocholic.acid/L.Serine	0.00146308257295744	0.000700864160585443	0.00131882480331774	0.0010694315583333	0.000366646094526658	0.00137978273879608	0.00065071587812371	0.00279310276494547	0.00133545138103363	0.00117058457891381	0.00101056494118225	0.00134688005791407	0.00116990214779756	0.00104946169069327	0.000744829865919076	0.00181285925414399	0.00182941899382214	0.00104010771755952	0.00130699180681298	0.00126427821525446	0.000687637275444429	0.000506703172667481	0.00193732101198922	0.00187632134390833	0.000696709027326563	0.00129352866542956	0.000827203958874835	0.000719811358491734	0.000762639454173931	0.00122457972945026	0.000932668952141537	0.00094498766578448	0.00124616499644192	0.00193425974725314	0.00111511530847084	0.00145226811788026	0.00277283660533118	0.00172841423960139
Poly.g.D.glutamate/L.Serine	4.70897317298797	2.54322183098592	2.98671184054209	5.21430175627723	0.156116248622544	6.09294964028777	1.31564791201785	12.1454228101603	2.60112129285359	4.71872466024456	3.75585327364658	5.74127332601537	6.37943364877555	4.56218673505071	2.53544827586207	8.07219347419865	6.00643047803931	4.01747539135337	4.38600329888578	5.21002653707197	2.60243815836194	1.57230620556361	7.70829634014008	5.68709677419355	1.69990938380991	6.0383035416898	3.58303450708365	1.37649060044893	2.48214910065654	5.77751126617241	2.01595111754301	3.9749258246553	4.31421926018697	7.59373018030262	4.3054478062236	6.67267759562842	10.888048282897	7.18141063956964
Arachidonyl.carnitine/L.Serine	10.3730471403342	26.6276497695853	32.9669742593492	42.5847395451211	10.0250665483585	32.0560181680545	24.4302626711062	51.1644736842105	35.94841189561	38.9096014977267	29.1048165710008	40.388416988417	32.1362809315866	16.4587888982338	33.2555404794211	45.7314739413681	17.6866738120757	39.1742071881607	22.9110251450677	26.4149781163884	19.5855106888361	8.31921110299489	33.9513360851618	27.9017298490983	20.2622262226223	43.3362549800797	18.2160789001793	19.5013664596273	19.1010463378176	28.027856135402	16.6829008649368	18.9897165091718	27.4325938566553	39.7025106584557	35.2612072008472	25.5307646356033	44.6763167073596	36.3085524327591
LysoPE.0.0.22.6.4Z.7Z.10Z.13Z.16Z.19Z../L.Serine	0.553412624209084	3.92967899891186	0.702397582756444	1.20016541742052	0.227915960622932	1.716567351737	0.634415110291292	3.55759165825765	1.28905960956713	0.916364850309585	1.04750570355866	0.718595864532527	0.595656206262752	0.161621876083976	0.423741218642124	1.31768108120791	0.521149149402055	1.25524333405593	0.391841092265127	0.251147435877677	0.196062928935956	0.10582949640622	1.31711222735394	5.08001072170475	0.568396246265202	0.763551362506844	0.502444171495932	0.30963708086785	0.194489766099672	0.492756228651487	0.320126240638557	0.226541026057606	0.398673197346395	0.956135847679022	0.483729601472084	0.87062406420925	1.7433444033101	0.54975954168783
LysoPhosphatidylcholine..18.2.9Z.12Z../L.Serine	1.71374705420267	1.72072662298987	2.07549304387708	2.14149203069658	0.660764675780393	2.43788140472078	1.32797731568998	3.62013115921195	2.07551335062023	1.98817886134419	1.78273563850928	1.60389451088623	1.70523094153086	0.908223882675082	1.42717391304348	2.4714004378775	1.43960102361289	1.93417536534447	1.38698757730916	1.15245726571285	0.863369239427771	0.583557502625983	2.8268726371579	3.73259478089611	0.896734872727756	2.30991717986834	1.40491886409736	1.19471841704718	0.949517015901323	1.41728478710506	1.16655500967694	1.18254352867874	1.75019052803484	2.69786905298397	2.08401134893812	2.05993493191951	3.19985510504884	2.45013867362754
Lysophospholipid.with.formula.C26H54NO7P/L.Serine	2.90924331326678	2.31963067041349	2.85421747540156	3.20883434226166	1.01914576943893	3.05703147559919	2.3223957234297	4.17999304435803	3.63276362595576	2.9347225304097	2.92119830674048	2.34426964277711	2.86531691568923	1.58105433245809	2.06128227411623	3.2454381275735	2.57449685371054	3.03750696698469	2.30941704035874	1.91654219347251	1.42222030572864	1.0192182920554	3.64666900011667	5.28764734602776	1.68464378367591	2.96758880340481	1.9645769540693	2.1053295067457	1.63350718412844	2.07159238988793	1.9680087905188	2.05433115848342	2.49232558139535	3.69704455227172	3.65741588254677	3.44776540819619	4.8060860755694	3.70806456590846
Diglyceride.with.formula.C32H62O5/L.Serine	8.24133837021047	7.24448345035105	13.4760770299782	8.62900468297034	6.1203954496208	11.7010223818734	7.32501386577926	14.4230622374952	11.6116447755342	12.4291328492097	9.2170236307595	12.109979161843	10.7238008500304	8.32567538821527	10.6778971826895	13.4841827240531	11.1022650818569	11.693424208002	7.30967741935484	8.85234680573664	7.75773256497707	4.38544474393531	11.3007448116277	16.240145672665	7.52467966573816	13.9632862644416	6.72599867578901	8.24679554528262	7.11979050590595	7.63637237006437	11.3933115230825	7.20879932475206	10.1316176470588	10.3382262242506	11.3594496247441	11.1009090909091	14.8386237256719	13.4435492894707
Triglyceride.with.formula.C33H62O6/L.Serine	10.6434346250348	30.9325481798715	24.1906628652887	33.0917901938426	10.7576767436325	32.5238095238095	17.4326821541711	43.198496977618	34.4633436772692	32.7001573387278	25.5472070098576	29.7853075170843	30.7166956521739	14.5444072835377	27.2831168831169	37.6837778896158	16.0418016850292	32.124479889043	21.4760178012197	24.6675749318801	18.0971193415638	2.17846212700842	30.4932682926829	36.3069923371648	17.8002108592515	35.3851659076122	18.2215246636771	18.8685096153846	15.945345645121	21.7474692202462	15.3717508582639	14.652584173279	29.8062422744129	38.2965501485035	29.4936521995867	25.8551119177253	39.5574428659666	36.9109062980031
Ceramide.with.formula.C36H71NO3/L.Serine	20.3128491620112	25.7955357142857	38.3497175141243	31.8567508232711	16.9262172284644	45.241452991453	21.0637958532695	37.9856342479529	28.462758289284	23.5409385113269	33.8233758700696	34.2970491803279	24.254463059599	9.3948631781085	26.982752293578	48.9716590364072	13.8747197309417	23.1212877464437	18.5870185449358	5.91463104787485	11.3613503272477	13.3752201996477	21.5318269495729	49.5807717462394	24.9571322985957	22.9966173361522	8.42679386146827	21.3702695344405	7.07485328313587	19.6896210056973	25.3584142394822	14.9769837790443	17.6363137685134	16.5407538977699	11.263389333634	24.9932748538012	10.9823373060105	25.2883603451905
Uridine.diphosphate.glucose/L.Serine	0.558161974868237	0.330043295977701	0.450212574036121	0.517587155513347	0.140738180210143	0.241869338237814	0.324978592308979	0.475998286234793	0.232725629641271	0.410965443795674	0.458871069281375	0.301291504412544	0.1407311732684	0.331130814396183	0.358096722349389	0.623049442777183	0.987768865477473	0.224765523030418	0.238168354747373	0.563885889876256	0.198463774133278	0.195391009337216	0.409013701139799	2.29127123254549	0.238766815747141	0.182569814398937	0.487233804438191	0.435305600692114	0.262952552236165	0.134696104697172	0.324923351241801	0.298959058032843	1.41294093519278	0.348591380877218	0.172323376948223	0.236402506817415	0.228656147297353	0.259781960024563
LysoPE.0.0.24.6.6Z.9Z.12Z.15Z.18Z.21Z../L.Serine	5.07517447657029	3.73799974123431	10.2104392298436	8.07779556050379	2.2555899381114	7.25724078834619	4.08253477588872	10.1367835921027	8.00635306839686	7.52550175874198	6.31145145578526	7.3936952219395	8.35324441922058	5.78636901241869	5.98567241940736	6.79840808667756	6.30476311767702	6.95026256564141	6.55803301791826	6.77817062518198	3.97421376069406	3.37576880326047	10.3742697822623	8.11746439661634	4.3958862201393	8.79194956353055	5.36634970945589	4.59103936363105	5.61993139238279	6.37272508618616	4.75199939354888	6.00448194041656	8.15601217656012	11.0548044582207	9.19166359955834	7.10945687432421	10.6668054630246	9.52624484617824
