@format=row	BXD56	BXD45	BXD49	BXD101	BXD40	DBA/2J	BXD87	D2B6F1	BXD65b	BXD100	C57BL/6J	BXD48	BXD65	BXD69	BXD70	BXD73	BXD84	BXD63	BXD68	BXD66	BXD79	BXD81	BXD29	BXD98	BXD62	BXD90	BXD64	BXD102	BXD60	B6D2F1	BXD44	BXD73b	BXD48a	BXD32	BXD9	BXD61	BXD89	BXD27
N.Decanoylglycine/L.Serine	1.93610223642173	8.2972429638139	13.4787529785544	11.0180334092635	7.27394173507162	11.5039391469709	10.3992125984252	16.5810497272214	7.70668343670035	14.9750900669068	3.00799566686441	15.356136230182	8.67788532403086	5.7321323960164	12.6011996572408	19.0690152801358	9.15741768405475	12.9160741670152	9.22573107696665	7.47324008254987	7.94172887069588	0.716007858546169	10.3167414840243	10.4882401770891	12.7615268329554	15.4464640727066	8.6800056963828	7.92058526740666	6.6087091435664	9.70655757723776	10.719220246238	7.78543755697356	10.1722210504113	16.2789161891813	12.6241627701251	5.78015958885583	12.1674741141826	11.3205502685386
D.Ribulose.5.phosphate/L.Serine	0.630077979948013	0.419293509810751	0.750674599663806	0.267967655334954	0.265436775735791	0.298522403631954	0.383536422456352	0.730043208768757	0.344005606524942	0.39382955339112	0.298694047530625	0.342624497229028	0.319718840170448	0.57669299227913	0.477770991175974	0.490006086002413	0.398100568542777	0.33836607537426	0.416719971343406	0.59103405752421	0.278276276656331	0.379484701825119	0.565139406212707	0.506166080215796	0.423235526365266	0.327120173222663	0.303690564571178	0.313749865095512	0.384647337876562	0.361855552773542	0.37578493347361	0.245172796136084	0.457203395856145	0.677397323936263	0.404928292892524	0.343459061120018	0.71313560973437	0.54466779095492
Sedoheptulose/L.Serine	3.81875468867217	4.28840730295384	12.5701851851852	5.85169875995564	6.3260078387458	5.6491462113127	5.76322220282772	8.2437412314887	7.29895255699322	7.31548247598934	2.78922318951497	7.28352597131319	7.54919644383655	5.84949932745479	6.61460957178841	6.78075947838686	3.3628829563209	7.24087534193044	5.67857921115711	6.69463045889651	5.71463224465044	5.12152894884767	8.42151209786064	5.58034596981965	6.57841418273914	7.42484641638225	4.50854353132628	6.12031189083821	6.54440233534774	7.25511135450895	2.83679149225025	6.625133326869	7.4435098008952	8.06194690265487	8.90171092496881	5.24527491408935	7.78171324422843	7.10118801347597
Aspartyl.L.proline/L.Serine	3.83544303797468	2.7992442592772	5.52670574824947	3.67523586399038	1.90222240929371	2.18695450085214	2.895509953521	3.64623955431755	3.55941268378671	3.16184908284795	3.16944776606153	3.02329479768786	3.0465028029323	2.84709391139885	2.80128009753124	4.60965299296136	3.30275535392621	2.63486149820829	2.36839713527466	2.58870814005211	2.19251479093266	2.20984719864177	4.67772157203149	5.11773442246675	2.82971591385234	3.10321807600137	2.45572119258662	2.73580565334077	2.11070000991048	2.75212935392286	3.06398162178015	2.53817006575281	3.4974617448691	4.15785687709289	3.43801624449339	2.92469034421406	1.91686745184897	3.38560599656212
X3.Methoxytyrosine/L.Serine	10.3239588967009	7.55715406748627	21.5215599239061	10.6296126728322	7.59418585111746	9.48611111111111	9.34413471062686	16.2638700947226	6.97902674678921	11.8732555292581	9.88414272395966	12.0319760754543	11.3233106808565	9.8960809102402	10.8272713886026	15.3280791538724	10.4330874604847	11.1960120845921	8.53442064583743	10.8145739315105	8.22493765586035	7.35367231638418	15.7888462315619	13.9022556390977	9.85178701677608	14.2673137460651	6.8315400134499	11.6182652457075	8.87649347040845	11.4041606886657	10.6645117386866	10.4456505121541	9.99512953367876	13.2592944154406	14.4754383422692	9.61063638407915	8.36295377383129	12.7447756444256
X4..Glutamylamino..butanoate/L.Serine	3.79502982107356	3.24763938848921	6.49187069625096	2.60148353987854	2.51519367764915	3.19471897397209	2.83813985472987	6.20350037537538	3.61164634146341	3.94273557548985	2.68012593648021	4.63843561546648	3.23689178044534	3.34435614799624	3.36005118128227	5.76336720032841	2.09243839553658	4.49742718446602	2.68588567541382	2.82283853309543	2.24207198939533	1.88170177612557	3.66746456397259	5.28838507150331	3.63555124892334	2.35360048468063	1.9811155171293	2.50848486785338	2.18474952983416	4.24021124506561	3.22061241265927	2.58034668982968	2.05210416578018	4.85261847552326	5.4170055853804	3.16968887900026	2.93925834136491	3.27343813857178
Dihydroxycoprostanoic.acid/L.Serine	8.68570128540553	8.04987461688493	15.4727604285389	8.0570516379789	3.84294217687075	6.43654050767594	6.82532299741602	14.4767588283603	10.8066046341908	9.06718603926457	7.52940796694428	8.39265083440308	8.70440096594549	8.07489168557871	6.58440046565774	13.3226380404484	6.07050889025138	8.68619913744609	7.38173474590675	8.54549268446169	6.55184743742551	5.49330760882672	12.5918942873258	14.132923191648	7.12759894459103	6.50017927572607	7.33201010465536	9.03880700138185	6.16192496865657	8.49492358661964	9.25322902059193	6.98405397117449	8.32711732711733	11.3882736598954	11.4009358593928	8.10362153962837	4.18024868640057	9.45576892806548
Hydroxypropionylcarnitine/L.Serine	8.59477712742008	6.82840935948948	14.6924242424242	10.5802041560335	6.47835435779816	7.32756532272019	7.58848540565387	18.7424156506946	12.9646140376477	7.32469036350821	8.3457134678689	9.6198271105389	7.27494027514622	10.0925734914905	8.23105339751483	13.7013113754193	6.07125337257788	9.13768616234343	8.0578231292517	8.95056574755575	4.56403514841209	6.04190981432361	10.2794185358153	5.6271526128266	10.752109536698	8.24545178896301	5.61346472646896	6.79240221529941	6.06598310073104	14.0709860152239	8.88658916926566	5.72667840080463	9.20353053435115	7.80954155795751	10.38301631847	8.746239639824	5.84872146118721	6.10710110303462
X5.Sulfosalicylic.acid/L.Serine	0.842037935597706	0.622476461336264	1.83100453172205	0.995890704757003	0.583881345202258	1.30063271699736	0.888570428978955	1.80387903099268	1.09217804985986	1.37478974126363	1.00675063233225	1.33184792849686	1.22540292646375	1.07734867461257	1.04848277435546	1.28804802807372	1.26098474235207	1.22973493144321	0.864885496183206	1.1248291571754	1.0139260352301	0.601200923787529	1.23400424816216	1.71929784773093	0.838817056054452	1.47867105298932	0.833255864822005	1.19977683689222	0.893021370567599	1.06652444015081	1.10456019171131	1.13538170095384	1.32650731653647	1.36470511609731	1.31761524764229	0.960858372958329	1.46782714323367	1.52679467791742
Dihydrobiopterin/L.Serine	0.337933171055543	1.74948528521255	8.08757297748123	2.33193387035214	3.27035241334395	2.712053285513	2.20749481847964	5.24399579556948	3.70162903091409	2.68880181861866	2.75645843673923	6.40340352595495	3.71333361365739	3.15764421137555	2.58419147365831	4.26280932139062	3.11450141553948	4.17272440661172	2.73229601358861	3.20889291481234	2.90411200140882	2.12550739513834	3.12437273835942	5.65612176378423	2.19622764227642	4.22423300970874	1.97367398484554	2.92720492261794	2.26683459873696	3.54551942548731	3.13955876092455	1.36222262097015	3.0701871657754	5.29266521423384	4.37809527983521	3.26634567618174	5.49776804875955	2.84138208305742
